id,bedrooms_total,baths_total,acres,sq_ft_tot_fn, tax_gross_amount,assessment_value_town,garage_capacity,address,city,garage_type,year_built,total_stories,surveyed,seasonal,water_body_type,water_frontage_length,short_sale,rooms_total,garage,flood_zone,easements,current_use,covenants,common_land_acres,basement_access_type,basement,price_closed
168,3,3,0.25,2851,9735,504600,1,3 River Street,Woodstock,Detached,1870,2,Unknown,No,,,No,10,Yes,No,,,No,,Interior,Yes,550000
169,5,4,12.95,3538,19038,907100,3,1138 Peterkin Hill Rd,Woodstock,Attached,2011,2,Yes,No,,,No,11,Yes,No,,,Yes,,Interior,Yes,830000
170,3,4,181,3919, -   ,3726200,2,7500 Happy Valley Road,Woodstock,Attached,2000,1.5,Yes,No,,,,10,Yes,No,Yes,Yes,Yes,,Walkout,Yes,4150000
171,3,3,13.4,1934,9668,694800,2,1370 Westerdale,Woodstock,Attached,1988,2,Yes,No,,,No,5,Yes,No,,No,No,,Interior,Yes,465000
172,5,2,0.2,3196,6619,311500,0,24 High Street,Woodstock,,1840,2.5,Unknown,No,,,No,9,No,No,,No,No,,Interior,Yes,305000
173,6,5,56,3348,14962,1024540,0,166 Old Mt. Hunger Road,Barnard,,1810,2,No,No,Pond,100,No,11,No,No,Yes,Yes,Unknown,,Interior,Yes,935000
174,5,3,8.23,3406,12778,669440,2,2028 North Road,Barnard,Detached,1794,2.5,Yes,No,,,,13,Yes,No,Yes,No,Yes,,Walkout,No,384000
175,5,5,2.64,4832,16299,844800,5,1059 Carlton Hill Road,Woodstock,Attached,2006,2,Unknown,No,,,No,14,Yes,No,,,No,,,No,1022000
176,2,1,78,1400,6039,455540,0,149 Sayer Road,Barnard,,1963,1.5,Yes,Unknown,,,,4,No,No,,Yes,No,,,No,500000
177,3,3,13.4,1820,6358,310860,2,2762 Route 12,Barnard,Detached,1996,2,Yes,No,,,No,6,Yes,No,,,No,,Interior,Yes,315000
178,4,3,5.02,2868,12191,634900,2,938 South Road,Woodstock,Detached,1830,1.5,Yes,No,Pond,,,9,Yes,No,,No,No,,,Yes,550000
179,3,2,0.15,1790,7625,399510,1,291 The Grove Rd,Barnard,Detached,1894,2,Yes,No,Lake,,No,6,Yes,No,,,Unknown,,,No,410000
180,4,3,5.26,2800,9582,526000,2,2000 High Pastures Road,Pomfret,Attached,1815,2,Unknown,No,,,No,10,Yes,No,,,No,,Walk-up,Yes,340000
181,6,4,146.09,3656,18710,1027680,2,2458 Webster Hill Road,Pomfret,Detached,1781,2,Yes,No,Pond,,No,17,Yes,Unknown,,Yes,Unknown,,Walk-up,Yes,1000000
182,4,3,2.16,4940,9454,481470,2,316 Bennett Rd,Barnard,Attached,2003,2,Yes,No,Pond,,No,12,Yes,No,,,No,,Walkout,Yes,393900
183,3,4,25.12,2980,9850,481570,2,1537 Vermont Route 12,Barnard,Under,1985,1.5,Yes,No,Pond,,,9,Yes,No,,No,Yes,,Walkout,Yes,485000
184,4,4,11.68,3200,13084,,2,4304 High Pastures Road,Woodstock,Attached,1995,1.75,Yes,No,Pond,,No,10,Yes,Unknown,,,No,,Interior,Yes,875000
185,7,8,54.26,8760,54614,2861310,3,5893 Stage Road,Barnard,Attached,2006,3,Yes,No,Pond,,No,20,Yes,No,Yes,Yes,No,,Walk-up,Yes,2650000
186,4,4,58.7,3298,17022,1211000,2,12101 Long Hill Rd.,Woodstock,Attached,1965,2,Yes,No,,,,6,Yes,No,,No,No,,,No,815000
187,3,3,0.34,1950,14452,430300,0,42 River St.,Woodstock,,1895,2,Yes,No,River,295,,7,No,Yes,,,No,,Interior,Yes,405000
188,4,3,0.56,2470,8319,427700,1,11 Linden Hill,Woodstock,Detached,1890,2,Unknown,No,,,,7,Yes,No,,No,No,,,Yes,352500
189,3,2,1.2,1380,,,2,27003 Churchill Road,Woodstock,Detached,1952,1.5,Yes,No,,,No,6,Yes,No,,No,No,,Interior,Yes,335000
190,2,2,0.07,1292,4731,245200,0,5 Ford Street,Woodstock,,,1.5,Unknown,No,,,No,6,No,Unknown,,No,No,,Interior,Yes,314600
191,4,4,2.8,4344,15101,782700,2,64 Town Farm Road,Woodstock,Detached,1998,2,Yes,No,,,No,12,Yes,No,,No,No,,Walkout,Yes,975000
192,1,2,0,1730,5720,296500,0,17 Pleasant Street,Woodstock,,1900,3,Unknown,No,,,No,5,No,Unknown,,,Yes,,Interior,Yes,365000
193,3,2,5.27,2164,8060,414400,3,506 Westerdale Road,Woodstock,Detached,1987,1.5,Yes,No,Pond,,No,7,Yes,No,,No,Unknown,,Interior,Yes,370000
194,3,3,10.12,3200,7057,365800,2,115 Oak Ridge Way,Woodstock,Detached,1980,2,Yes,No,,,No,9,Yes,No,,,Yes,,Walk-up,Yes,560000
195,3,3,4.96,2100,6950,397100,3,3897 Hartland Hill Road,Woodstock,Detached,1905,2,Yes,No,Stream,,,9,Yes,No,,No,No,,,Yes,360000
196,3,2,1.13,2156,7184,324600,2,918 College Hill Road,Woodstock,Attached,2000,2,Yes,No,,,No,8,Yes,No,,,No,,Interior,Yes,400000
197,3,3,13.75,2443,10407,539400,3,76 Grove Hill Rd.,Woodstock,Detached,1983,1.5,Yes,No,,,,9,Yes,No,,,Yes,,Interior,Yes,610000
198,2,3,1.04,1614,6404,323700,0,39A Elm St,Woodstock,,1820,2.5,Yes,No,,,,5,No,No,,,No,,,Yes,425000
199,3,3,0.39,2410,8181,391300,2,16 Prospect Street,Woodstock,Under,1998,1.5,Yes,No,,,No,8,Yes,No,,,No,,Interior,Yes,385000
200,3,3,8.32,3739,21020,40600,2,3 Border Lane,Woodstock,Attached,1961,1,Yes,No,,,No,10,Yes,No,,No,Unknown,,Interior,Yes,1400000
201,3,2,23.19,3589,7409,384000,1,1014 Noah Wood Rd,Woodstock,Detached,1992,1.5,Yes,No,,,,6,Yes,No,,,No,,Interior,Yes,410000
202,3,3,5.01,2214,7573,362200,2,164 Juniper Way,Woodstock,Attached,1974,2,Yes,No,,,No,6,Yes,No,,,No,,Interior,Yes,490000
203,3,4,0.64,2322,6722,,2,9 Shurtleff Lane,Woodstock,Attached,1993,2,Yes,No,,,No,8,Yes,No,,,Yes,,Interior,Yes,403000
204,5,3,,3120,,926710,3,17 Totman Hill,Pomfret,Detached,1863,2,Yes,No,,,,10,Yes,No,,,Yes,,,,1450000
205,3,1,11.72,3000,,1634670,4,762 Royalton Turnpike,Barnard,Detached,1973,2.5,Yes,No,Pond,,No,9,Yes,No,,No,Yes,,Interior,Yes,549000
206,3,3,2.8,3046,10434,540800,0,204 Willow Brook Road,Woodstock,,1995,2,Yes,No,,,No,9,No,No,,No,Yes,,Interior,Yes,493000
